Genome	DNA-1-S1-22_S63_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S1-22_S958_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S1_S67_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S1_S962_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S2-22_S64_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S2-22_S959_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S2_S68_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S2_S963_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S3-22_S65_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S3-22_S960_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S3_S69_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S3_S964_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S4-22_S66_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S4-22_S961_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S4_S70_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S4_S965_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-3-S1_S71_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-3-S1_S966_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-3-S2_S72_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-3-S2_S967_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-3-S3_S73_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-3-S3_S968_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-3-S4_S74_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-3-S4_S969_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-4-S1_S75_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-4-S1_S970_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-4-S2_S76_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-4-S2_S971_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-4-S3_S77_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-4-S3_S972_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-4-S4_S78_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-4-S4_S973_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-5-S1_S79_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-5-S1_S974_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-5-S2_S80_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-5-S2_S975_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-5-S3_S81_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-5-S3_S976_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-5-S4_S82_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-5-S4_S977_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-6-S1_S83_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-6-S1_S978_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-6-S2_S84_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-6-S2_S979_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-6-S3_S85_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-6-S3_S980_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-6-S4_S86_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-6-S4_S981_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-8-S1_S87_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-8-S1_S982_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-8-S2_S88_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-8-S2_S983_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-8-S3_S89_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-8-S3_S984_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-8-S4_S90_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-8-S4_S985_L000_R1_001.anqdpht.fastq.gz Trimmed Mean
DNA-1_bin_31	3.3658018	2.978818	6.5908246	5.9447646	6.689486	6.032147	7.832926	7.0611076	0	0	1.7404063	1.5727406	0	0	0.08249145	0.068147495	2.0254889	1.8344909	0	0	2.7084303	2.4738374	14.641164	13.274249	3.1280718	2.859296	0	0	1.2885976	1.1437771	5.819709	5.338007	1.9463298	1.800301	1.4868543	1.3242031	1.5450225	1.3937155	1.5107651	1.3643751	3.6699598	3.3338711	0	0	0.7398861	0.64609224	0.861483	0.77152497	2.6117663	2.339852	0	0	2.2271717	2.0123467	1.5995249	1.4390725
DNA-1_bin_36_1	3.4226243	3.0936263	2.7248979	2.467769	0	0	0	0	0	0	0	0	0	0	0	0	0.5598423	0.5005493	0	0	0	0	0	0	0.934824	0.86920315	0	0	0	0	0	0	0	0	0.22487438	0.20021069	0	0	0	0	4.9590473	4.5443845	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA-1_bin_39_1	1.1263014	1.0238978	4.298436	3.8838494	0.9380756	0.8507466	1.2503436	1.1140685	0	0	0.76629734	0.7196261	0	0	0	0	0.76662594	0.72419775	0	0	0.31588733	0.28585058	0	0	0.55603826	0.48248518	0	0	0.12393965	0.102112554	0	0	0	0	0.36004147	0.32963106	0.5339341	0.46818674	0	0	0.19688842	0.16931398	0	0	0.3368666	0.30829036	0	0	0	0	0	0	0.23008583	0.21496148	0	0
DNA-1_bin_41	1.7660826	1.6010318	2.5666537	2.3642695	1.3475755	1.2403443	1.6959392	1.4673434	0	0	1.5320501	1.4247526	0	0	0.08476294	0.0750679	1.1550146	1.0292609	0	0	1.9500302	1.7734876	4.214971	3.869615	2.0395446	1.8516524	0	0	1.7936567	1.629647	3.7071836	3.3461604	0.9042995	0.84631974	1.6863879	1.5146272	1.6811521	1.5297837	0.38138276	0.3496628	0.8610972	0.78248435	0	0	1.5759689	1.435113	0.7040948	0.6450917	0.81485915	0.72633755	0	0	3.7178874	3.3907635	0.94708943	0.8551763
DNA-1_bin_43	0.8796435	0.75249374	1.3645742	1.2520323	0.3218205	0.30357853	0.2945259	0.26648346	0.62657946	0.5651153	0.8178668	0.74544364	0.5492707	0.4890951	1.1667246	1.0535395	1.1792879	1.039935	3.9964614	3.6657832	0.9560313	0.91667026	1.293883	1.161397	1.3088975	1.2257608	0.8586041	0.78873086	0.7856222	0.707695	0.7303455	0.6620442	1.1351215	1.0561008	0.32168913	0.29145303	0.94231933	0.8645401	1.015907	0.9152921	0	0	1.6415641	1.4632862	2.1541378	2.024894	0.7632716	0.7039619	0.913474	0.80864364	1.0775769	0.9276233	0.9990047	0.93167615	1.179073	1.0551201
DNA-1_bin_45_1	1.2263225	1.1438401	3.0049505	2.7458112	0.17624095	0.15821439	0.19870475	0.18453504	0	0	0	0	0	0	0	0	0.52674836	0.4764786	0	0	0.06830591	0	0.08078887	0	0.4902166	0.4376094	0	0	0	0	0.08275487	0.0779803	0	0	0	0	0	0	0	0	2.7642834	2.5502248	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA-1_bin_46	2.4669983	2.245849	3.8440976	3.5164604	0.5232746	0.4669048	0.567657	0.50522465	0.18034783	0.15043844	0.3442327	0.3270628	0.16740201	0.14231879	0.35178354	0.32030892	1.4781929	1.3451543	0.14351217	0.11811043	0.2939783	0.25905997	0.52484435	0.4689682	1.8828479	1.709866	0.069917366	0	0.3988341	0.35667166	1.022298	0.9531804	0.49441323	0.4405579	0.6548142	0.58059657	0.3522059	0.32310355	0	0	0.6980859	0.61482316	0.113495454	0.090343386	0.4065764	0.3772126	0.22630404	0.21188337	0.186653	0.15278436	0	0	0.9060006	0.836489	0.2339144	0.2118207
DNA-1_bin_47_1	0.85279644	0.77314055	2.2707925	2.0949085	0	0	0	0	0	0	0	0	0	0	0	0	0.6299838	0.5776048	0	0	0	0	0.4693206	0.4227615	0.36761406	0.34563544	0	0	0	0	0	0	0	0	0.18517946	0.16477215	0	0	0	0	3.0242424	2.7928557	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA-1_bin_49_1	0.09782074	0.07851592	1.7701172	1.6184427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.528884	1.4156034	0	0	0	0	0	0	0.501984	0.45448485	0.07873235	0	0.07352603	0	0	0	0.13084103	0.11037379	0.1537585	0.13876384	0	0	0	0	0.06982325	0	0	0	0	0	0	0	0.07530825	0
DNA-1_bin_50	0.31973183	0.29602945	1.4378508	1.3088343	0.13940236	0.11722929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070550755	0	0.25489867	0.23431607	0	0	0	0	0.2194834	0.19825187	0	0	0	0	0	0	0	0	0.4118978	0.37993878	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA-1_bin_51_1	1.4730443	1.347981	2.5084074	2.3306134	0	0	0	0	0	0	0.06471603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA-1_bin_52_1	7.931048	7.2695456	12.529303	11.47263	3.7317398	3.366578	4.414216	3.964539	0	0	0.30778435	0.28589034	0	0	0	0	1.965665	1.7940054	0	0	0	0	2.0177908	1.8303033	2.1295037	1.9271003	0	0	0.26896885	0.23387598	0.2569575	0.237655	0.24741426	0.2202405	0.22767615	0.19376221	0.26975396	0.23721988	0	0	9.06423	8.267458	0	0	0.212619	0.1941953	0	0	0	0	0	0	1.6670926	1.498406	0	0
DNA-1_bin_53_1	3.2049646	2.9731963	4.658381	4.3241487	2.3580396	2.2059472	3.0266979	2.7896886	0.09126976	0.06765541	1.5028399	1.4097346	0.07040623	0	0.20169502	0.19233198	1.5199685	1.4422587	0	0	2.1671891	2.0665853	7.3211284	6.7307725	3.150294	2.9065483	0	0	2.7634442	2.5255458	4.827226	4.469573	1.8165282	1.6909693	2.5982144	2.404824	1.7515433	1.640917	1.6304382	1.5289693	3.6626132	3.4662192	0.09203976	0	1.6828325	1.5200545	1.2442707	1.187569	1.8708754	1.7492253	0.10181059	0.08872112	3.78542	3.4897954	2.0955248	1.9545819
DNA-1_bin_54	1.010428	0.9112599	1.6010177	1.4467273	2.859032	2.6555898	2.622074	2.3641448	5.1069913	4.5730224	6.028301	5.5595775	4.674009	4.2063875	8.485725	7.8092084	2.6967883	2.4530969	16.85965	15.223549	6.3571773	5.8419046	5.6586356	5.152152	3.7711606	3.4439955	2.6321778	2.4070637	3.9604917	3.6237705	2.046587	1.8314878	3.256096	2.9317844	0.20947197	0.18674019	5.115743	4.6845164	5.1075363	4.6420665	0	0	6.7957587	6.287612	8.640369	7.984139	3.9343412	3.6212535	6.4210296	5.841382	5.2054353	4.699895	3.4278455	3.080521	4.94737	4.451105
DNA-1_bin_55_1	3.3987327	2.9944665	6.2371807	5.737244	2.1216993	1.9278363	2.1791804	2.0053625	0	0	1.2108483	1.1109682	0	0	0	0	1.7579722	1.6011597	0	0	1.2385082	1.1131978	2.5224273	2.2875187	1.7817045	1.6420546	0	0	0.9243819	0.84008074	1.0494258	0.96266305	0.3403593	0.30580735	1.3049406	1.1752994	0.7297095	0.66883016	0.08204205	0	2.8597515	2.6177976	0	0	0.457226	0.40115717	0	0	0.13184325	0.10795497	0	0	0.9352069	0.8208857	0	0
DNA-1_bin_59_1	0.4181338	0.34657732	0.77475554	0.6779246	1.1527373	1.0593209	0.9206928	0.8085	1.124123	1.0140971	2.531676	2.3120303	1.0345819	0.90590495	2.0232308	1.8181897	1.5744673	1.4282843	6.264936	5.6116443	2.5013392	2.290285	1.9124173	1.7220296	1.5856689	1.4745998	1.1964486	1.0766361	1.2302998	1.1377629	0.32508844	0.31027922	1.6537331	1.5270444	0	0	1.9816166	1.816789	1.622034	1.4800661	0	0	3.0447936	2.759947	4.0438485	3.7236068	1.2323585	1.1079885	2.2691138	1.9693747	2.278684	2.0636911	1.4340881	1.2935665	1.864924	1.7091382
DNA-1_bin_7	3.3778515	3.028999	3.4399743	3.152829	0.36510387	0.3213317	0.76277506	0.6731523	0	0	0.16007596	0.1367328	0	0	0	0	0.3582343	0.30690488	0	0	0	0	0	0	1.0263759	0.9408598	0	0	0	0	0	0	0.25560218	0.21717077	0	0	0.4850797	0.44700232	0	0	0.17348191	0.155805	0	0	0.088778876	0.07245288	0	0	0	0	0	0	0.41566956	0.3806127	0	0
DNA-1_bin_8	0.74140745	0.6605895	5.197793	4.762403	0.15922149	0.14310999	0.24145624	0.21196793	0	0	0.1029561	0.08258034	0	0	0	0	0.34932908	0.32242495	0	0	0	0	0.43513694	0.4033186	1.1515042	1.070021	0	0	0.07686645	0	0.5036718	0.46075675	0.069058165	0	0.20021917	0.17509243	0.19519715	0.16875815	0	0	0.33292055	0.29405567	0	0	0.5468014	0.49995616	0.29226258	0.26769054	0	0	0	0	2.0202005	1.8416542	0.09426416	0.07042996
DNA-4_bin_11	1.0934281	0.9988401	1.7194723	1.5645081	1.0667341	0.9588867	0.9293859	0.8298683	3.2271721	2.897356	3.957756	3.5439382	2.9090686	2.5665855	5.3493366	4.897492	2.913071	2.646765	11.467956	10.321776	4.046461	3.651053	2.746164	2.5360422	5.7385583	5.2095413	1.9012116	1.722423	2.321693	2.1119432	0.5189055	0.4545968	4.603057	4.219572	0.08091907	0	3.1964011	2.933968	1.2711743	1.1279428	0	0	4.060885	3.7054896	6.6611295	6.0189247	0.82181066	0.72827655	6.0905523	5.412637	3.0590534	2.7207565	1.880427	1.7378014	2.5466774	2.2654376
DNA-4_bin_12_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6012183	0.52797097	0	0	0	0	0.66622275	0.6197738	0	0	5.641496	5.2413373	0	0	0	0	0.09908458	0.08202007	0	0	0	0	0	0	0.07114249	0	0	0	0	0	0	0	0.19510752	0.16984624	0	0	0	0
DNA-4_bin_14_1	5.439352	4.8905473	7.614283	7.0021105	13.197602	11.960052	15.6571245	14.075683	27.205133	24.508837	10.599781	9.678007	24.731182	22.356102	45.087227	41.204098	7.876662	7.1921406	17.62878	15.877386	6.568697	5.98372	10.748602	9.703836	10.184897	9.422574	5.249995	4.760203	7.7078395	7.0985456	4.881553	4.4423704	6.5710855	5.951272	5.7943907	5.228946	6.4610353	5.8591022	4.0863113	3.775444	6.4122105	5.765869	1.2954345	1.1915569	2.299423	2.078051	4.6014476	4.195619	28.571995	25.930502	12.823109	11.481709	5.031808	4.6220174	5.769039	5.1302056
DNA-4_bin_15_1	1.302515	1.1861948	2.2989175	2.07585	0.3554682	0.35694912	0.50666016	0.4756543	0	0	1.1147687	0.9991655	0	0	0	0	1.0069107	0.90351677	0	0	1.1346673	1.015577	2.6125684	2.3427489	1.5328212	1.3780147	0	0	1.6731865	1.5089302	6.471314	5.7848706	0.32895416	0.3010305	0.4612587	0.42781702	1.4631311	1.3663152	0.2348176	0.22419967	0.1721755	0.15684731	0	0	1.4204935	1.2981275	0.5098208	0.43886113	0	0	0	0	2.908456	2.6730716	0.3986068	0.33755976
DNA-4_bin_17	0	0	0.18086544	0.16637722	0	0	0	0	0.21590933	0.18240675	0	0	0.18894391	0.17487472	0.4056373	0.35623473	0.13506453	0.111124545	1.0703127	0.95599854	0	0	0.36274213	0.31688285	0.53280914	0.47951308	0.24830996	0.22176713	2.7637258	2.5065532	0.094749905	0.07774403	0.13124084	0.117204785	0	0	0	0	0.5526342	0.4899459	0	0	0	0	0	0	0.7629164	0.69899917	0.12865575	0.114856936	0.2879472	0.24763572	0.101777695	0.086674005	0.081038445	0.06897261
DNA-4_bin_18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0552218	2.8374162	0	0	0	0	0	0	0	0	0.15232417	0.13794716	0	0	0	0	0	0	0.27086195	0.2309602	0	0	0	0	0	0	0	0
