Name,Category_1,Category_2,Module_id,Reaction level,Definition,key_gene,Definition gene name,order
succinyl-CoA => succinate semialdehyde,butanoate_fermentation_succinate_pathway,Fermentation,ExDef00013_001,,K18119,,,
succinate semialdehyde => 4-hydroxybutanoate,butanoate_fermentation_succinate_pathway,Fermentation,ExDef00013_002,,"K18120,K00043,K08318",,,
4-hydroxybutanoate => 4-hydroxybutanoyl-CoA,butanoate_fermentation_succinate_pathway,Fermentation,ExDef00013_003,,K18122,,,
4-hydroxybutanoyl-CoA => crotonoyl-CoA,butanoate_fermentation_succinate_pathway,Fermentation,ExDef00013_004,,K14534,,,
crotonoyl-CoA => butanoyl-CoA,butanoate_fermentation_succinate_pathway,Fermentation,ExDef00013_005,,"K17829,K00209",,,
butanoyl-CoA => butanoate,butanoate_fermentation_succinate_pathway,Fermentation,ExDef00013_006,,"(K01034+K01035),K19709",,,
butanoyl-CoA => butanoyl-P,butanoate_fermentation_succinate_pathway,Fermentation,ExDef00013_007,,K00634,,,
butanoyl-P => butanoate,butanoate_fermentation_succinate_pathway,Fermentation,ExDef00013_008,,K00929,,,
pyruvate => acetyl-CoA,butanoate_fermentation_acetyl_coa_pathway,Fermentation,ExDef00014_001,,"(K00163+K00627),(K00161+K00162+K00627),(K00169+K00170+K00171+K00172),(K00169+K00170+K00171+K00189),(K03737),(K00174+K00175),(K00656)",,,
acetyl-CoA => acetatoacetyl-CoA,butanoate_fermentation_acetyl_coa_pathway,Fermentation,ExDef00014_002,,K00626,,,
acetatoacetyl-CoA => 3-hydroxybutanoyl-CoA,butanoate_fermentation_acetyl_coa_pathway,Fermentation,ExDef00014_003,,"K07516,K00022,K00074,K00023",,,
3-hydroxybutanoyl-CoA => crotonoyl-CoA,butanoate_fermentation_acetyl_coa_pathway,Fermentation,ExDef00014_004,,"K01825,K01782,K01715,K01692,K17865",,,
crotonoyl-CoA => butanoyl-CoA,butanoate_fermentation_acetyl_coa_pathway,Fermentation,ExDef00014_005,,"K17829,K00209",,,
butanoyl-CoA => butanoate,butanoate_fermentation_acetyl_coa_pathway,Fermentation,ExDef00014_006,,"(K01034+K01035),K19709",,,
butanoyl-CoA => butanoyl-P,butanoate_fermentation_acetyl_coa_pathway,Fermentation,ExDef00014_007,,K00634,,,
butanoyl-P => butanoate,butanoate_fermentation_acetyl_coa_pathway,Fermentation,ExDef00014_008,,K00929,,,
alpha amylase,starch_degradation,polysaccharide_degradation,ExDef00015_001,,"K01176,K05343,K07405",,,
beta amylase,starch_degradation,polysaccharide_degradation,ExDef00015_002,,K01177,,,
limit dextrinase,starch_degradation,polysaccharide_degradation,ExDef00015_003,,"K01182,K01203",,,
pullulanase,starch_degradation,polysaccharide_degradation,ExDef00015_004,,K01200,,,
alpha-arabinofuranosidase,hemicellulose_degradation,polysaccharide_degradation,ExDef00016_001,,K06113,,,
alpha-galactosidase,hemicellulose_degradation,polysaccharide_degradation,ExDef00016_002,,"K01189,K07406,K07407",,,
alpha-glucuronidase,hemicellulose_degradation,polysaccharide_degradation,ExDef00016_003,,K01235,,,
"endo-1,4-beta-mannase",hemicellulose_degradation,polysaccharide_degradation,ExDef00016_004,,"K01218,K19355",,,
"endo-1,4-beta-xylanase",hemicellulose_degradation,polysaccharide_degradation,ExDef00016_005,,"K01181,K13465",,,
"endo-1,4-betagalactase",hemicellulose_degradation,polysaccharide_degradation,ExDef00016_006,,K01224,,,
"endo-alpha-1,5-arabinanase",hemicellulose_degradation,polysaccharide_degradation,ExDef00016_007,,K06113,,,
"exo-1,4-beta-mannosidase",hemicellulose_degradation,polysaccharide_degradation,ExDef00016_008,,K01192,,,
"exo-1,4-beta-xylosidase",hemicellulose_degradation,polysaccharide_degradation,ExDef00016_009,,"K01198,K15920,K22268",,,
p-cumaric esterase,hemicellulose_degradation,polysaccharide_degradation,ExDef00016_010,,"K09252,K21016",,,
cellobiases,cellulose_degradation,polysaccharide_degradation,ExDef00017_001,,"K01188,K05349,K05350",,,
endocellulases,cellulose_degradation,polysaccharide_degradation,ExDef00017_002,,"K01179,K19357,K20542",,,
exocellulase,cellulose_degradation,polysaccharide_degradation,ExDef00017_003,,"K01225,K19668",,,
chitin deacetylase,chitin_degradation,polysaccharide_degradation,ExDef00018_001,,K01452,,,
chitinase,chitin_degradation,polysaccharide_degradation,ExDef00018_002,,"K01183,K13381,K20547,K26440",,,
lignin peroxidase,lignin_degradation,polysaccharide_degradation,ExDef00019_001,,K23515,,,
manganese peroxidase,lignin_degradation,polysaccharide_degradation,ExDef00019_002,,K20205,,,
phenol oxidase,lignin_degradation,polysaccharide_degradation,ExDef00019_003,,"K00421,K05909",,,
pectin depolymerase,pectin_degradation,polysaccharide_degradation,ExDef00020_001,,K01184,,,
pectin methyl esterase,pectin_degradation,polysaccharide_degradation,ExDef00020_002,,K01051,,,
protopectinases,pectin_degradation,polysaccharide_degradation,ExDef00020_003,,K06113,,,
"Hydrogen sulfide => Polysulfide, sqr","Hydrogen sulfide => Polysulfide, sqr",Sulfur metabolism,Extra_001,,K17218,,,
"Thiosulfate => HSO3- + Hydrogen sulfide, phsA","Thiosulfate => HSO3- + Hydrogen sulfide, phsA",Sulfur metabolism,Extra_002,,K08352,,,
sor,Sulfur  => hydrogen sulfide,Sulfur metabolism,Extra_003,,K16952,,,
sreABC,Sulfur  => hydrogen sulfide,Sulfur metabolism,Extra_004,,K17219,,,
sreABC,Sulfur  => hydrogen sulfide,Sulfur metabolism,Extra_005,,K17220,,,
sreABC,Sulfur  => hydrogen sulfide,Sulfur metabolism,Extra_006,,K17221,,,
Thiosulfate => Sulfite,Thiosulfate => Sulfite,Sulfur metabolism,Extra_007,,K01011,,,
Thiosulfate => Sulfite,Thiosulfate => Sulfite,Sulfur metabolism,Extra_008,,K02439,,,
glucose => glucose-6P,Glycolysis (Embden-Meyerhof pathway),Central carbon metabolism,M00001_001,Yes,"(K00844,K12407,K00845,K25026,K00886,K08074,K00918)",,,
glucose-6P => fructose-6P,Glycolysis (Embden-Meyerhof pathway),Central carbon metabolism,M00001_002,Yes,"(K01810,K06859,K13810,K15916)",,,
fructose-6P => fructose-1-6-biP,Glycolysis (Embden-Meyerhof pathway),Central carbon metabolism,M00001_003,Yes,"(K00850,K16370,K21071,K00918)",,,
fructose-1-6-biP => glycerone P,Glycolysis (Embden-Meyerhof pathway),Central carbon metabolism,M00001_004,Yes,"(K01623,K01624,K11645,K16305,K16306)",,,
glycerone P => glyceraldehyde-3P,Glycolysis (Embden-Meyerhof pathway),Central carbon metabolism,M00001_005,Yes,K01803,,,
glyceraldehyde-3P => 3-Phospho-D-glyceroyl P,Glycolysis (Embden-Meyerhof pathway),Central carbon metabolism,M00001_006,Yes,"((K00134,K00150) K00927,K11389)",,,
3-Phospho-D-glycerate => 2-Phospho-D-glycerate,Glycolysis (Embden-Meyerhof pathway),Central carbon metabolism,M00001_007,Yes,"(K01834,K15633,K15634,K15635)",,,
2-Phospho-D-glycerate => Phosphoenolpyruvate,Glycolysis (Embden-Meyerhof pathway),Central carbon metabolism,M00001_008,Yes,"(K01689,K27394)",,,
Phosphoenolpyruvate => Pyruvate,Glycolysis (Embden-Meyerhof pathway),Central carbon metabolism,M00001_009,Yes,"(K00873,K12406)",,,
glycerone P => glyceraldehyde-3P,"Glycolysis, core module involving three-carbon compounds",Central carbon metabolism,M00002_001,Yes,K01803,,,
glyceraldehyde-3P => 3-Phospho-D-glyceroyl P,"Glycolysis, core module involving three-carbon compounds",Central carbon metabolism,M00002_002,Yes,"((K00134,K00150) K00927,K11389)",,,
3-Phospho-D-glycerate => 2-Phospho-D-glycerate,"Glycolysis, core module involving three-carbon compounds",Central carbon metabolism,M00002_003,Yes,"(K01834,K15633,K15634,K15635)",,,
2-Phospho-D-glycerate => Phosphoenolpyruvate,"Glycolysis, core module involving three-carbon compounds",Central carbon metabolism,M00002_004,Yes,"(K01689,K27394)",,,
Phosphoenolpyruvate => Pyruvate,"Glycolysis, core module involving three-carbon compounds",Central carbon metabolism,M00002_005,Yes,"(K00873,K12406)",,,
"glucose-6P => glucono-1,5-lactone-6P",Pentose P cycle,Central carbon metabolism,M00004_001,yes,"K13937,(K00036,K19243) ",,,
"glucono-1,5-lactone-6P => 6-phospho-D-gluconate",Pentose P cycle,Central carbon metabolism,M00004_002,yes,"K13937,(K01057,K07404)",,,
6-phospho-D-gluconate => ribulose-5P,Pentose P cycle,Central carbon metabolism,M00004_003,yes,K00033,,,
ribulose-5P => xylulose-5P,Pentose P cycle,Central carbon metabolism,M00004_004,yes,K01783,,,
ribulose-5P => ribose-5P,Pentose P cycle,Central carbon metabolism,M00004_005,yes,"(K01807,K01808)",,,
ribose-5P + xylulose-5P => sedoheptulase-7P,Pentose P cycle,Central carbon metabolism,M00004_006,yes,K00615,,,
sedoheptulase-7P => erythrose-4P +fructose-6P,Pentose P cycle,Central carbon metabolism,M00004_007,yes,"K00616,K13810",,,
erythrose-4P => fructose-6P,Pentose P cycle,Central carbon metabolism,M00004_008,yes,K00615,,,
fructose-6P => glucose-6P,Pentose P cycle,Central carbon metabolism,M00004_009,yes,"(K01810,K06859,K15916),K13810",,,
ribose 5P => PRPP,"PRPP biosynthesis, ",Central carbon metabolism,M00005_001,Yes,K00948,,,
"glucose-6P => glucono-1,5-lactone-6P","Pentose P pathway, oxidative phase",Central carbon metabolism,M00006_001,Yes,"K13937,(K00036,K19243) ",,,
"glucono-1,5-lactone-6P => 6-phospho-D-gluconate","Pentose P pathway, oxidative phase",Central carbon metabolism,M00006_002,Yes,"K13937,(K01057,K07404)",,,
6-phospho-D-gluconate => ribulose-5P,"Pentose P pathway, oxidative phase",Central carbon metabolism,M00006_003,no,K00033,,,
fructose-6P => erythrose-4P,"Pentose P pathway, non-oxidative phase",Central carbon metabolism,M00007_001,Yes,K00615,,,
erythrose-4P + fructose-6P => seduheptulose-7P,"Pentose P pathway, non-oxidative phase",Central carbon metabolism,M00007_002,Yes,"K00616,K13810",,,
sedoheptulase-7P => ribose-5P + xylulose-5P,"Pentose P pathway, non-oxidative phase",Central carbon metabolism,M00007_003,Yes,K00615,,,
xylulose-5P => ribulose-5P,"Pentose P pathway, non-oxidative phase",Central carbon metabolism,M00007_004,Yes,K01783,,,
ribulose-5P => ribose-5P,"Pentose P pathway, non-oxidative phase",Central carbon metabolism,M00007_005,Yes,"(K01807,K01808)",,,
"glucose-6P => glucono-1,5-lactone-6P",Entner-Doudoroff pathway,Central carbon metabolism,M00008_001,Yes,K00036,,,
"glucono-1,5-lactone-6P => 6-phospho-D-gluconate",Entner-Doudoroff pathway,Central carbon metabolism,M00008_002,Yes,"(K01057,K07404)",,,
"6-phospho-D-gluconate => 	
2-Dehydro-3-deoxy-6-phospho-D-gluconate",Entner-Doudoroff pathway,Central carbon metabolism,M00008_003,Yes,K01690,,,
2-Dehydro-3-deoxy-6-phospho-D-gluconate => glyceraldehyde-P + pyruvate,Entner-Doudoroff pathway,Central carbon metabolism,M00008_004,Yes,K01625,,,
Acetyl-CoA => Citrate,TCA,Central carbon metabolism,M00009_001,Yes,"(K01647,K05942)",,,
Citrate => isocitrate,TCA,Central carbon metabolism,M00009_002,Yes,"(K01681,K01682)",,,
Isocitrate => 2-oxoglutarate,TCA,Central carbon metabolism,M00009_003,Yes,"(K00031,K00030)",,,
2-oxoglutarate => Succynil-CoA,TCA,Central carbon metabolism,M00009_004,Yes,"((K00164+K00658,K01616)+K00382,K00174+K00175-K00177-K00176)",,,
Succinyl-CoA => Succinate,TCA,Central carbon metabolism,M00009_005,Yes,"(K01902+K01903,K01899+K01900,K18118)",,,
Succinate => Fumarate,TCA,Central carbon metabolism,M00009_006,Yes,"(K00234+K00235+K00236+(K00237,K25801),K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) ",,,
Fumarate => Malate,TCA,Central carbon metabolism,M00009_007,Yes,"(K01676,K01679,K01677+K01678)",,,
Malate => Oxaloacetate,TCA,Central carbon metabolism,M00009_008,Yes,"(K00026,K00025,K00024,K00116)",,,
oxaloacetate + acetyl-CoA => citrate,"Citrate cycle, first carbon oxidation",Central carbon metabolism,M00010_001,Yes,"(K01647,K05942,K01659)",,,
citrate => isocitrate,"Citrate cycle, first carbon oxidation",Central carbon metabolism,M00010_002,Yes,"(K01681,K27802,K01682)",,,
isocitrate => 2-oxoglutarate,"Citrate cycle, first carbon oxidation",Central carbon metabolism,M00010_003,Yes,"K00031,K00030",,,
2-oxoglutarate => succinyl-CoA,"Citrate cycle, second carbon oxidation",Central carbon metabolism,M00011_001,Yes,"((K00164+K00658,K01616)+K00382,K00174+K00175-K00177-K00176)",,,
succinyl-CoA => succinate,"Citrate cycle, second carbon oxidation",Central carbon metabolism,M00011_002,Yes,"(K01902+K01903,K01899+K01900,K18118)",,,
succinate => fumarate,"Citrate cycle, second carbon oxidation",Central carbon metabolism,M00011_003,Yes,"(K00234+K00235+K00236+(K00237,K25801),K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247)",,,
fumarate - malate,"Citrate cycle, second carbon oxidation",Central carbon metabolism,M00011_004,Yes,"(K01676,K01679,K01677+K01678)",,,
malate => oxaloacetate,"Citrate cycle, second carbon oxidation",Central carbon metabolism,M00011_005,Yes,"(K00026,K00025,K00024,K00116)",,,
acetyl-CoA + oxaloacetate => citrate,Glyoxylate cycle,Other carbohydrate metabolism,M00012_001,Yes,K01647,,,
citrate => cis-aconitate => isocitrate,Glyoxylate cycle,Other carbohydrate metabolism,M00012_002,Yes,"(K01681,K01682)",,,
isocitrate => glyoxylate,Glyoxylate cycle,Other carbohydrate metabolism,M00012_003,Yes,K01637,,,
glyoxylate => malate,Glyoxylate cycle,Other carbohydrate metabolism,M00012_004,Yes,"(K01638,K19282)",,,
malate => oxaloacetate,Glyoxylate cycle,Other carbohydrate metabolism,M00012_005,Yes,"(K00026,K00025,K00024)",,,
propanoyl-CoA => propenoyl-CoA,Malonate semialdehyde pathway,Other carbohydrate metabolism,M00013_001,Yes,"(K00248,K00232)",,,
propenoyl-CoA => 3-hydroxypropionyl-CoA,Malonate semialdehyde pathway,Other carbohydrate metabolism,M00013_002,Yes,"(K07511,K14729)",,,
3-hydroxypropionyl-CoA => 3-hydroxypropanoate,Malonate semialdehyde pathway,Other carbohydrate metabolism,M00013_003,Yes,K05605,,,
3-hydroxypropanoate => 3-oxopropanoate,Malonate semialdehyde pathway,Other carbohydrate metabolism,M00013_004,Yes,K23146,,,
 3-oxopropanoate => acetyl-CoA,Malonate semialdehyde pathway,Other carbohydrate metabolism,M00013_005,Yes,K00140,,,
3-phospho-D-glycerate => 3-phosponooxypyruvate,Serine biosynthesis,Amino acid metabolism,M00020_001,,K00058,,,
3-phosponooxypyruvate => O-phospho-L-serine,Serine biosynthesis,Amino acid metabolism,M00020_002,,K00831,,,
O-phospho-L-serine => serine,Serine biosynthesis,Amino acid metabolism,M00020_003,,"K01079,K02203,K22305,K25528",,,
serine => O-acetyl-serine,Cysteine biosynthesis,Amino acid metabolism,M00021_001,,"K00640,K23304",,,
O-acetyl-serine => cysteine,Cysteine biosynthesis,Amino acid metabolism,M00021_002,,"K01738,K13034,K17069",,,
"D-ribulose-5P => D-ribulose-1,5-biP",Calvin cycle,Carbon fixation,M00165_001,Yes,K00855,,,
" D-ribulose-1,5-biP => 3-phosphoglycerate",Calvin cycle,Carbon fixation,M00165_002,Yes,K01601 K01602,,,
3-phosphoglycerate => 3-phospho-D-glyceroil P,Calvin cycle,Carbon fixation,M00165_003,Yes,K00927,,,
3-phospho-D-glyceroil P => D-glyceraldehyde-3P,Calvin cycle,Carbon fixation,M00165_004,Yes,"(K05298,K00150,K00134)",,,
D-glyceraldehyde-3P => Glycerone P,Calvin cycle,Carbon fixation,M00165_005,Yes,K01803,,,
"D-glyceraldehyde-3P + glycerone P => D-fructose-1,6-biP",Calvin cycle,Carbon fixation,M00165_006,Yes,"(K01623,K01624)",,,
"D-fructose-1,6-biP => D-fructose-6P",Calvin cycle,Carbon fixation,M00165_007,Yes,"(K03841,K02446,K11532,K01086)",,,
D-fructose-6P + D-glyceraldehyde-3P => D-erythrose 4-P + D-xylulose-5P,Calvin cycle,Carbon fixation,M00165_008,Yes,K00615,,,
"Sedoheptulose-1,7-biP => Sedoheptulose-7P",Calvin cycle,Carbon fixation,M00165_009,Yes,"(K01100,K11532,K01086)",,,
D-ribose-5P => D-ribulose-5P,Calvin cycle,Carbon fixation,M00165_010,Yes,"(K01807,K01808)",,,
D-xylulose-5P => D-ribulose-5P,Calvin cycle,Carbon fixation,M00165_011,Yes,K01783,,,
acetyl-CoA => pyruvate,Reductive citrate cycle,Carbon fixation,M00173_001,Yes,"(K00169+K00170+K00171+K00172,K03737)",,,
pyruvate => phosphoenolpyruvate,Reductive citrate cycle,Carbon fixation,M00173_002,Yes,"K01007,K01006",,,
phosphoenolpyruvate => oxaloacetate,Reductive citrate cycle,Carbon fixation,M00173_003,Yes,K01595,,,
pyruvate => oxaloacetate,Reductive citrate cycle,Carbon fixation,M00173_004,Yes,"K01959+K01960,K01958",,,
oxaloacetate => malate,Reductive citrate cycle,Carbon fixation,M00173_005,Yes,K00024,,,
malate => fumarate,Reductive citrate cycle,Carbon fixation,M00173_006,Yes,"(K01676,K01679,K01677+K01678)",,,
fumarate => succinate,Reductive citrate cycle,Carbon fixation,M00173_007,Yes,"(K00239+K00240-K00241-K00242,K18556+K18557+K18558+K18559+K18560)",,,
succinate => succinyl-CoA,Reductive citrate cycle,Carbon fixation,M00173_008,Yes,(K01902+K01903),,,
succinyl-CoA => 2-oxoglutarate,Reductive citrate cycle,Carbon fixation,M00173_009,Yes,(K00174+K00175-K00177-K00176),,,
2-oxoglutarate => isocitrate,Reductive citrate cycle,Carbon fixation,M00173_010,Yes,K00031,,,
isocitrate => cis-aconitate => citrate,Reductive citrate cycle,Carbon fixation,M00173_011,Yes,"(K01681,K01682)",,,
citrate => acetyl-CoA,Reductive citrate cycle,Carbon fixation,M00173_012,Yes,"(K15230+K15231,K15232+K15233 K15234)",,,
methane => methanol,Methane oxidation,Methane metabolism,M00174_001,Yes,"((K109442+K109452+K109462),(K16157+K16158+K16159+K16160+K16161+K16162))",,,
methanol => formaldehyde,Methane oxidation,Methane metabolism,M00174_002,yes,"((K14028-K14029),K23995)",,,
nitrogen => ammonia,Nitrogen fixation,Nitrogen metabolism,M00175_001,Yes,"K02588+K02586+K02591-K00531,K22896+K22897+K22898+K22899",,"nifH+nifD+nifK-anfG,vnfD+vnfK+vnfG+vnfH",
sulfate => APS => PAPS => sulfite,Assimilatory sulfate reduction,Sulfur metabolism,M00176_001,Yes,"(((K13811,K00958+K00860,K00955+K00957,K00956+K00957+K00860) K00390),(K13811 K05907))",,,
sulfite => H2S,Assimilatory sulfate reduction,Sulfur metabolism,M00176_003,Yes,"(K00380+K00381,K00392)",,,
pyruvate => acetyl-CoA,Pyruvate oxidation,Central carbon metabolism,M00307_001,Yes,"((K00163,K00161+K00162)+K00627+K00382-K13997),K00169+K00170+K00171+(K00172,K00189),K03737",,,
gluconic acid => 2-dehydro-3-deoxy-gluconate,Semi-phosphorylative Entner-Doudoroff pathway (euryarcheota),Central carbon metabolism,M00308_001,Yes,K05308,,,
2-dehydro-3-deoxy-gluconate => 2-dehydro-3-deoxy-6P-gluconate,Semi-phosphorylative Entner-Doudoroff pathway (euryarcheota),Central carbon metabolism,M00308_002,Yes,K00874,,,
2-dehydro-3-deoxy-6P-gluconate => glyceraldehyde-3P + pyruvate,Semi-phosphorylative Entner-Doudoroff pathway (euryarcheota),Central carbon metabolism,M00308_003,Yes,K01625,,,
glyceraldehyde-3P => 3P-glyceroil phosphate,Semi-phosphorylative Entner-Doudoroff pathway (euryarcheota),Central carbon metabolism,M00308_004,Yes,K00134,,,
3P-glyceroil phosphate => glycerate-3P,Semi-phosphorylative Entner-Doudoroff pathway (euryarcheota),Central carbon metabolism,M00308_005,Yes,K00927,,,
glyceraldehyde-3P => glycerate-3P,Semi-phosphorylative Entner-Doudoroff pathway (euryarcheota),Central carbon metabolism,M00308_006,Yes,"K00131,K18978",,,
gluconic acid => 2-dehydro-3-deoxy-gluconate,Non-phosphorylative Entner-Doudoroff pathway (crenarcheota),Central carbon metabolism,M00309_001,Yes,K05308,,,
2-dehydro-3-deoxy-gluconate => glyceraldehyde + pyruvate,Non-phosphorylative Entner-Doudoroff pathway (crenarcheota),Central carbon metabolism,M00309_002,Yes,"(K11395,K18127)",,,
galactonate => 2-dehydro-3-deoxy-galactonate,Non-phosphorylative Entner-Doudoroff pathway (crenarcheota),Central carbon metabolism,M00309_003,Yes,K05308,,,
2-dehydro-3-deoxy-galactonate => glyceraldehyde + pyruvate,Non-phosphorylative Entner-Doudoroff pathway (crenarcheota),Central carbon metabolism,M00309_004,Yes,"(K11395,K18127)",,,
glyceraldehyde => glycerate,Non-phosphorylative Entner-Doudoroff pathway (crenarcheota),Central carbon metabolism,M00309_005,Yes,"(K18020+K18021+K18022,K18128,K03738)",,,
