WBANNO,LST_DATE,CRX_VN,LONGITUDE,LATITUDE,T_DAILY_MAX,T_DAILY_MIN,T_DAILY_MEAN,T_DAILY_AVG,P_DAILY_CALC,SOLARAD_DAILY,SUR_TEMP_DAILY_TYPE,SUR_TEMP_DAILY_MAX,SUR_TEMP_DAILY_MIN,SUR_TEMP_DAILY_AVG,RH_DAILY_MAX,RH_DAILY_MIN,RH_DAILY_AVG,SOIL_MOISTURE_5_DAILY,SOIL_MOISTURE_10_DAILY,SOIL_MOISTURE_20_DAILY,SOIL_MOISTURE_50_DAILY,SOIL_MOISTURE_100_DAILY,SOIL_TEMP_5_DAILY,SOIL_TEMP_10_DAILY,SOIL_TEMP_20_DAILY,SOIL_TEMP_50_DAILY,SOIL_TEMP_100_DAILY
53131,20210205,2.623,-111.17,32.24,18.5,3.5,11,11.6,0,16.61,C,30.4,2.8,13.2,55.2,15.2,29,0.059,0.108,-99,-99,-99,15.2,15.1,-9999,-9999,-9999
53131,20210206,2.623,-111.17,32.24,20.3,3.4,11.9,12.1,0,17.02,C,32.1,2.3,13.2,53.3,13.1,29,0.056,0.104,-99,-99,-99,14.9,14.7,-9999,-9999,-9999
53131,20210207,2.623,-111.17,32.24,22.6,4.5,13.6,13.4,0,17.12,C,34,2.4,14.1,45.6,5.1,24.2,0.054,0.102,-99,-99,-99,15.4,15,-9999,-9999,-9999
53131,20210208,2.623,-111.17,32.24,23.4,5.6,14.5,14.4,0,17.27,C,34.7,3.5,15.1,43.3,8.3,23,0.052,0.101,-99,-99,-99,16.2,15.7,-9999,-9999,-9999
53131,20210209,2.623,-111.17,32.24,23.5,6.1,14.8,15.2,0,14.09,C,34,4.6,14.7,37.5,8.5,20.1,0.048,0.099,-99,-99,-99,16.2,15.8,-9999,-9999,-9999
53131,20210210,2.623,-111.17,32.24,22.3,10.8,16.6,16.2,0,16.04,C,36.4,9.3,17.7,40.5,15.2,25.3,0.048,0.098,-99,-99,-99,18.1,17.4,-9999,-9999,-9999
53131,20210211,2.623,-111.17,32.24,22.2,5.5,13.9,14.6,0,17.52,C,35.1,4.9,16.2,53.4,11.2,28.6,0.046,0.095,-99,-99,-99,17.6,17.1,-9999,-9999,-9999
53131,20210212,2.623,-111.17,32.24,23,8,15.5,15,0,15.82,C,36.3,7,17.1,51.3,15.4,30.9,0.044,0.094,-99,-99,-99,18.1,17.6,-9999,-9999,-9999
53131,20210213,2.623,-111.17,32.24,21.6,5,13.3,12.6,0,12.86,C,32.5,5.1,13.8,75.2,15.5,45.5,0.039,0.09,-99,-99,-99,16,16.3,-9999,-9999,-9999
53131,20210214,2.623,-111.17,32.24,15.3,5.3,10.3,11.1,0,17.78,C,29.3,4.8,13.4,62.2,17.6,34.8,0.039,0.088,-99,-99,-99,15.7,15.7,-9999,-9999,-9999
53131,20210215,2.623,-111.17,32.24,16.8,2.4,9.6,9.9,0,15.89,C,29.2,1.3,11.7,40.3,11.9,23.7,0.036,0.085,-99,-99,-99,14,14.1,-9999,-9999,-9999
53131,20210216,2.623,-111.17,32.24,18.3,8.4,13.3,12.9,0,10.35,C,27.9,5.9,12.6,39.8,11,26.3,0.035,0.084,-99,-99,-99,14.1,14.4,-9999,-9999,-9999
53131,20210217,2.623,-111.17,32.24,17.2,4.7,10.9,11.2,0,18.2,C,28.9,1.9,11.7,46.9,11.7,23.3,0.035,0.082,-99,-99,-99,14.1,14,-9999,-9999,-9999
53131,20210218,2.623,-111.17,32.24,15.7,5.2,10.4,10.1,0,19.26,C,30.7,1.4,12.1,37.6,6.5,21.5,0.034,0.08,-99,-99,-99,14,13.7,-9999,-9999,-9999
53131,20210219,2.623,-111.17,32.24,21.4,3.2,12.3,12.3,0,18.95,C,34.9,1.7,14.3,32.7,7.9,18.5,0.035,0.08,-99,-99,-99,15.6,15,-9999,-9999,-9999
53131,20210220,2.623,-111.17,32.24,26.4,5.8,16.1,15.7,0,17.83,C,38.6,3.9,15.8,31.1,3.2,15.8,0.033,0.08,-99,-99,-99,16.9,16.3,-9999,-9999,-9999
53131,20210221,2.623,-111.17,32.24,18.8,6.8,12.8,12.8,0,19.77,C,34.1,3.4,14.7,33.3,5.9,17.9,0.032,0.078,-99,-99,-99,16.3,15.9,-9999,-9999,-9999
53131,20210222,2.623,-111.17,32.24,24.2,3.3,13.7,14.5,0,20.01,C,37.7,1.9,15.7,30,4.7,13.9,0.031,0.076,-99,-99,-99,16.8,16.2,-9999,-9999,-9999
53131,20210223,2.623,-111.17,32.24,25.5,4.7,15.1,15.6,0,20.01,C,39.3,3,16.9,32.1,4.3,14.7,0.031,0.076,-99,-99,-99,17.8,17.1,-9999,-9999,-9999
53131,20210224,2.623,-111.17,32.24,25.1,5.8,15.4,15.8,0,20.15,C,39.1,4.2,17.4,28.3,4,13.3,0.03,0.075,-99,-99,-99,18.5,17.8,-9999,-9999,-9999
53131,20210225,2.623,-111.17,32.24,20.3,5.2,12.7,13.2,0,20.07,C,34.8,4.6,15.4,26.1,7.3,14.4,0.028,0.073,-99,-99,-99,17.3,17.2,-9999,-9999,-9999
53131,20210226,2.623,-111.17,32.24,20.3,0.7,10.5,10.5,0,20.45,C,35.2,0.2,13.7,37.2,8.1,19.2,0.026,0.07,-99,-99,-99,15.8,15.7,-9999,-9999,-9999
53131,20210227,2.623,-111.17,32.24,22.5,3.7,13.1,13.6,0,20.23,C,36.9,2.4,15.4,31.8,4.5,15,0.026,0.069,-99,-99,-99,16.9,16.4,-9999,-9999,-9999
53131,20210228,2.623,-111.17,32.24,12.6,5,8.8,9.8,0,20.64,C,27.6,2.9,11.9,23.7,5.8,12,0.023,0.064,-99,-99,-99,14.8,15.1,-9999,-9999,-9999
53131,20210301,2.623,-111.17,32.24,19.2,0.3,9.7,11.2,0,20.74,C,34.5,-0.9,13.7,17.7,7.5,11.3,0.025,0.061,-99,-99,-99,15.2,14.8,-9999,-9999,-9999
53131,20210302,2.623,-111.17,32.24,24.7,10,17.3,16.4,0,20.63,C,37.9,6,17.4,18.2,4.3,10.8,0.025,0.062,-99,-99,-99,17.9,17.3,-9999,-9999,-9999
53131,20210303,2.623,-111.17,32.24,27.4,7.4,17.4,17.6,0,19.2,C,37.4,5.9,17.9,54.8,3.7,16.3,0.026,0.061,-99,-99,-99,18.7,18.2,-9999,-9999,-9999
53131,20210304,2.623,-111.17,32.24,18.4,5.8,12.1,12.6,0,20.2,C,35.5,4.9,16.7,75.1,29.2,47.6,0.024,0.06,-99,-99,-99,18.3,18,-9999,-9999,-9999
53131,20210305,2.623,-111.17,32.24,25.9,5.7,15.8,17.2,0,21.44,C,40.9,4.3,19.4,62.2,7,26.6,0.026,0.061,-99,-99,-99,19.7,18.9,-9999,-9999,-9999
53131,20210306,2.623,-111.17,32.24,28.1,14.5,21.3,21,0,21.21,C,43.1,11.2,22.6,27.4,7.1,15.1,0.027,0.064,-99,-99,-99,22.6,21.5,-9999,-9999,-9999
53131,20210307,2.623,-111.17,32.24,29.5,10.2,19.8,21.6,0,18.53,C,44.8,9.3,22.3,28.5,6,14.7,0.026,0.066,-99,-99,-99,22.9,22.1,-9999,-9999,-9999
53131,20210308,2.623,-111.17,32.24,27.4,16.1,21.7,21.5,0,13.98,C,38.4,15.4,22.7,23.6,7.2,14.5,0.025,0.065,-99,-99,-99,23.2,22.8,-9999,-9999,-9999
53131,20210309,2.623,-111.17,32.24,25.1,9.3,17.2,18.4,0,12.15,C,35.6,8.7,19.4,37.1,5.3,20.4,0.022,0.059,-99,-99,-99,20.7,21.1,-9999,-9999,-9999
53131,20210310,2.623,-111.17,32.24,19.6,4,11.8,12.4,0,21.68,C,37.4,4.1,16.6,56.1,12.2,29.1,0.023,0.06,-99,-99,-99,19,19.1,-9999,-9999,-9999
53131,20210311,2.623,-111.17,32.24,19.7,3.4,11.6,12,0,21.53,C,36.8,2.9,16,50.4,13.5,30.8,0.022,0.057,-99,-99,-99,18.4,18.5,-9999,-9999,-9999
53131,20210312,2.623,-111.17,32.24,16.9,5.5,11.2,10.6,2.3,20.26,C,33.4,7.3,16.3,88.7,14.4,50,0.022,0.057,-99,-99,-99,18.5,18.7,-9999,-9999,-9999
53131,20210313,2.623,-111.17,32.24,13.2,0.8,7,6.8,12.4,15.52,C,25.7,3.9,10.8,96.7,34.8,69.4,0.116,0.147,-99,-99,-99,13,14,-9999,-9999,-9999
53131,20210314,2.623,-111.17,32.24,17.9,2.8,10.4,10.8,0,22.24,C,29.8,2.1,13.3,84.2,20.2,48.5,0.096,0.131,-99,-99,-99,14.2,14.3,-9999,-9999,-9999
53131,20210315,2.623,-111.17,32.24,20.8,5.3,13.1,13.6,0,13.23,C,26.2,3.9,12.9,71.2,10.9,30.8,0.077,0.115,-99,-99,-99,13.8,14,-9999,-9999,-9999
53131,20210316,2.623,-111.17,32.24,13.9,1.7,7.8,9.2,1.9,20.97,C,26.1,4.8,12.3,92.3,15.2,42.2,0.074,0.11,-99,-99,-99,13.8,14,-9999,-9999,-9999
53131,20210317,2.623,-111.17,32.24,20.7,2.4,11.6,12.3,0,22.95,C,34.8,1.4,14.9,66.9,14.4,33.4,0.072,0.109,-99,-99,-99,15.5,15.1,-9999,-9999,-9999
53131,20210318,2.623,-111.17,32.24,25.8,4.9,15.4,16.5,0,22.75,C,39.1,4.5,18.7,70.4,6.8,29.3,0.07,0.107,-99,-99,-99,18.8,18.2,-9999,-9999,-9999
53131,20210319,2.623,-111.17,32.24,27.2,7.6,17.4,18.3,0,23.2,C,41,6.7,20.7,49,5.9,21.9,0.067,0.107,-99,-99,-99,20.9,20.3,-9999,-9999,-9999
53131,20210320,2.623,-111.17,32.24,28.2,10.2,19.2,20,0,23.08,C,43.4,8.5,22.5,36.3,10.5,19.4,0.063,0.104,-99,-99,-99,22.4,21.8,-9999,-9999,-9999
53131,20210321,2.623,-111.17,32.24,25.9,11.8,18.9,19.2,0,23.04,C,41.2,11.3,22.5,53.6,3.7,19.3,0.057,0.1,-99,-99,-99,23.2,22.8,-9999,-9999,-9999
53131,20210322,2.623,-111.17,32.24,19,8.1,13.5,13.4,0,24.08,C,34.8,7.1,17.4,22.8,6.3,14.2,0.05,0.09,-99,-99,-99,19.7,20.1,-9999,-9999,-9999
53131,20210323,2.623,-111.17,32.24,21.5,6.6,14.1,12.5,0.3,17.34,C,35.9,5.3,14.8,71.8,11.4,30.3,0.045,0.081,-99,-99,-99,17.7,18.1,-9999,-9999,-9999
53131,20210324,2.623,-111.17,32.24,16.4,6.9,11.6,11.5,0,12.67,C,30.7,6.2,14.4,67.7,24.6,42.8,0.042,0.076,-99,-99,-99,16.5,16.9,-9999,-9999,-9999
53131,20210325,2.623,-111.17,32.24,19.4,5.2,12.3,13,0,17.66,C,31.2,3.2,13.8,45.8,9.3,26.1,0.043,0.076,-99,-99,-99,16.3,16.6,-9999,-9999,-9999
53131,20210326,2.623,-111.17,32.24,18,7.2,12.6,12.3,0,20.07,C,36.7,4.3,15.8,50,24.4,36.8,0.042,0.074,-99,-99,-99,17.9,17.8,-9999,-9999,-9999
53131,20210327,2.623,-111.17,32.24,21.4,5.1,13.2,14,0,24.15,C,38.4,4.4,18.1,69.7,19.2,38.9,0.042,0.075,-99,-99,-99,19.3,18.9,-9999,-9999,-9999
53131,20210328,2.623,-111.17,32.24,27.5,7.6,17.6,19.5,0,24.81,C,43.4,6.3,22,45.4,6.3,19,0.041,0.078,-99,-99,-99,22,21.2,-9999,-9999,-9999
53131,20210329,2.623,-111.17,32.24,30.1,11.5,20.8,22,0,20.81,C,45.9,9.6,23.3,29.2,4.8,13.1,0.038,0.081,-99,-99,-99,24.1,23.3,-9999,-9999,-9999
53131,20210330,2.623,-111.17,32.24,29,12.7,20.9,21.3,0,25.16,C,43.9,9.2,23,20,2.4,9.1,0.036,0.079,-99,-99,-99,24.2,23.5,-9999,-9999,-9999
53131,20210331,2.623,-111.17,32.24,29.1,9.4,19.3,20.7,0,25.1,C,46.8,8,24,26.7,3.9,10.6,0.034,0.075,-99,-99,-99,24.6,24,-9999,-9999,-9999
53131,20210401,2.623,-111.17,32.24,32.7,16.4,24.5,25.3,0,23.9,C,48.7,14.4,26.5,13.6,5.3,8.6,0.032,0.077,-99,-99,-99,26.7,25.7,-9999,-9999,-9999
53131,20210402,2.623,-111.17,32.24,30.7,15.4,23,24.4,0,24.71,C,48.3,14,28,22.3,7,12.6,0.033,0.077,-99,-99,-99,28.2,27.1,-9999,-9999,-9999
53131,20210403,2.623,-111.17,32.24,32.1,13.1,22.6,23.8,0,24.68,C,49.6,12.6,27.6,29.3,7.7,14.7,0.032,0.074,-99,-99,-99,28.3,27.4,-9999,-9999,-9999
53131,20210404,2.623,-111.17,32.24,34.3,14.2,24.2,25.7,0,24.97,C,51.4,13,28.9,29.2,3.7,12.7,0.031,0.073,-99,-99,-99,29.2,28.2,-9999,-9999,-9999
53131,20210405,2.623,-111.17,32.24,33.3,14.9,24.1,25.5,0,23.31,C,49.9,13.6,27.9,19.4,2.9,8.2,0.029,0.072,-99,-99,-99,29.3,28.6,-9999,-9999,-9999
53131,20210406,2.623,-111.17,32.24,30.2,17.5,23.9,24.1,0,25.06,C,46.9,16.1,27.4,17.3,4.5,11.1,0.028,0.069,-99,-99,-99,28.9,28.3,-9999,-9999,-9999
53131,20210407,2.623,-111.17,32.24,30.4,10.6,20.5,21.8,0,26.2,C,47.9,9.5,25.8,22.1,1.4,7.9,0.027,0.066,-99,-99,-99,27.5,27.2,-9999,-9999,-9999
53131,20210408,2.623,-111.17,32.24,31.2,14.8,23,23.7,0,25.98,C,48.5,12.9,27,22,5.9,12,0.027,0.066,-99,-99,-99,28.4,27.8,-9999,-9999,-9999
53131,20210409,2.623,-111.17,32.24,31.5,14.1,22.8,23.3,0,26,C,49.9,12.9,27.4,34.2,4.4,15.1,0.027,0.065,-99,-99,-99,28.7,28.2,-9999,-9999,-9999
53131,20210410,2.623,-111.17,32.24,32.5,13.4,22.9,23.3,0,25.98,C,50.5,11.4,27.1,15.9,3,8.2,0.026,0.063,-99,-99,-99,28.6,28.1,-9999,-9999,-9999
53131,20210411,2.623,-111.17,32.24,31.7,13.8,22.8,23.7,0,22.81,C,49.3,12.3,26.9,27,5.5,12,0.025,0.061,-99,-99,-99,28,27.7,-9999,-9999,-9999
53131,20210412,2.623,-111.17,32.24,31.5,16.7,24.1,24.2,0,26.15,C,48.5,15.3,28.2,35.2,5.6,19.6,0.026,0.062,-99,-99,-99,29.7,29.1,-9999,-9999,-9999
53131,20210413,2.623,-111.17,32.24,30.2,12.8,21.5,23,0,25.17,C,47,12.3,26.5,43.9,5.4,18.4,0.024,0.06,-99,-99,-99,29,28.7,-9999,-9999,-9999
53131,20210414,2.623,-111.17,32.24,29.4,13.4,21.4,22.5,0,23.51,C,47.1,12.2,26.1,33.3,6,16.5,0.024,0.058,-99,-99,-99,28.4,28.3,-9999,-9999,-9999
53131,20210415,2.623,-111.17,32.24,27.9,13,20.5,20.6,0,23.35,C,45.4,12.3,24.9,26.2,5.6,13.5,0.023,0.056,-99,-99,-99,27.5,27.6,-9999,-9999,-9999
53131,20210416,2.623,-111.17,32.24,24.6,12.8,18.7,19.5,0,14.79,C,37,12.5,22,24.6,6.1,12,0.02,0.052,-99,-99,-99,24.6,25.2,-9999,-9999,-9999
53131,20210417,2.623,-111.17,32.24,27,9.3,18.1,19.3,0,27.24,C,46.7,7.7,24.1,25.9,4.7,10.9,0.021,0.053,-99,-99,-99,25.9,25.8,-9999,-9999,-9999
53131,20210418,2.623,-111.17,32.24,25.8,10.9,18.3,19.8,0,22.64,C,47.3,10.2,23.9,31.2,8,17.6,0.021,0.051,-99,-99,-99,25.9,26,-9999,-9999,-9999
53131,20210419,2.623,-111.17,32.24,27.4,15.5,21.5,21.2,0,26.79,C,47.4,12.4,26.2,36.3,7.8,21.7,0.022,0.052,-99,-99,-99,27.7,27.3,-9999,-9999,-9999
53131,20210420,2.623,-111.17,32.24,30.8,11.3,21,22.2,0,27.51,C,50,10.6,26.9,26.4,3.8,12.2,0.022,0.052,-99,-99,-99,28.4,27.9,-9999,-9999,-9999
53131,20210421,2.623,-111.17,32.24,29.8,16.5,23.1,23.2,0,26.92,C,43.6,12.8,25.3,13.2,6,9.2,0.021,0.051,-99,-99,-99,28,28,-9999,-9999,-9999
53131,20210422,2.623,-111.17,32.24,26.8,14.1,20.4,20.2,0,23.99,C,41.6,11.5,23,24,3.6,13.3,0.02,0.048,-99,-99,-99,25.9,26.4,-9999,-9999,-9999
53131,20210423,2.623,-111.17,32.24,26.5,9.2,17.9,18.8,0,27.1,C,45.9,8.8,24.5,40.9,10.5,22.7,0.021,0.048,-99,-99,-99,26.6,26.5,-9999,-9999,-9999
53131,20210424,2.623,-111.17,32.24,31.2,11.8,21.5,22.7,0,27.21,C,50,11.3,27.6,41.4,7.9,19.2,0.021,0.049,-99,-99,-99,29,28.4,-9999,-9999,-9999
53131,20210425,2.623,-111.17,32.24,33.1,14.1,23.6,24.3,0,27.69,C,49.4,12.9,28.2,27.8,2.8,12.4,0.021,0.05,-99,-99,-99,30,29.4,-9999,-9999,-9999
53131,20210426,2.623,-111.17,32.24,27.8,16.6,22.2,21.7,0,21.08,C,44.3,14.5,24.3,29.3,6.3,15,0.018,0.048,-99,-99,-99,27.5,27.9,-9999,-9999,-9999
53131,20210427,2.623,-111.17,32.24,17.7,11.9,14.8,14.2,0.9,12.33,C,31.8,12.2,17.5,79.7,29.8,47.6,0.015,0.041,-99,-99,-99,20.9,22.6,-9999,-9999,-9999
53131,20210428,2.623,-111.17,32.24,22.3,9.6,15.9,14.8,0,17.58,C,40.7,8.8,18.9,63,20.8,41.1,0.021,0.043,-99,-99,-99,21.5,22.1,-9999,-9999,-9999
53131,20210429,2.623,-111.17,32.24,28.6,9.1,18.9,20,0,27.44,C,47.8,8.5,25.4,63.9,13.4,31.6,0.024,0.047,-99,-99,-99,26.1,25.5,-9999,-9999,-9999
53131,20210430,2.623,-111.17,32.24,31.6,18.1,24.8,25.2,0,27.81,C,49.5,14.6,29,27.3,9.1,16.5,0.023,0.049,-99,-99,-99,29.4,28.5,-9999,-9999,-9999
53131,20210501,2.623,-111.17,32.24,34.9,16.2,25.6,26.6,0,25.47,C,51.3,15.5,29.7,31.9,6.3,14.9,0.023,0.051,-99,-99,-99,31.1,30.2,-9999,-9999,-9999
53131,20210502,2.623,-111.17,32.24,32.7,18.7,25.7,25.9,0,28.68,C,48.5,16.8,29,17.7,2.6,8.7,0.022,0.05,-99,-99,-99,31.3,30.8,-9999,-9999,-9999
53131,20210503,2.623,-111.17,32.24,28.8,13.8,21.3,22.1,0,27.81,C,46.9,13,27.1,28.8,9.8,17.5,0.02,0.048,-99,-99,-99,29.6,29.6,-9999,-9999,-9999
53131,20210504,2.623,-111.17,32.24,31.9,14.1,23,24,0,28.36,C,51.7,12.7,29.4,42.8,6.7,18.7,0.021,0.048,-99,-99,-99,30.9,30.3,-9999,-9999,-9999
53131,20210505,2.623,-111.17,32.24,34.8,13.6,24.2,26.4,0,26.29,C,53.1,13.7,30.7,30.1,5.7,12.4,0.021,0.048,-99,-99,-99,31.7,31.1,-9999,-9999,-9999
53131,20210506,2.623,-111.17,32.24,36.2,15.5,25.8,27.4,0,28.14,C,55.5,15.3,32.5,32.4,7,15,0.022,0.049,-99,-99,-99,33.7,32.8,-9999,-9999,-9999
53131,20210507,2.623,-111.17,32.24,35.1,16.8,26,26.4,0,28.9,C,53.4,15.9,31.6,30,1.6,13.4,0.021,0.049,-99,-99,-99,33.5,33,-9999,-9999,-9999
53131,20210508,2.623,-111.17,32.24,32.5,16.1,24.3,25,0,28.62,C,52.2,13.9,30.3,22.5,5,10.8,0.019,0.048,-99,-99,-99,32.4,32.2,-9999,-9999,-9999
